timestamp,stake_mult,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,pnl_total,entered_all,bank
2026-01-21 23:00:00+00:00,1.5,0.5040152072906494,0.5149291157722473,0.5228297114372253,0.4959847927093506,0.4850708842277527,0.4771702885627746,1,1,1,0,1,1,132.75,0,125048.875
2026-01-22 00:00:00+00:00,1.0,0.4814517796039581,0.4892016053199768,0.4810469448566437,0.5185482501983643,0.5107983946800232,0.5189530849456787,1,1,1,-1,-1,-1,-150.0,1,124898.875
2026-01-22 01:00:00+00:00,1.0,0.4831629693508148,0.4918774664402008,0.4797370433807373,0.5168370008468628,0.5081225633621216,0.5202629566192627,-1,-1,-1,-1,0,-1,88.5,0,124987.375
2026-01-22 02:00:00+00:00,1.0,0.5017361640930176,0.5103476643562317,0.5071872472763062,0.4982638359069824,0.4896523356437683,0.4928127527236938,-1,1,-1,0,1,0,44.25,0,125031.625
2026-01-22 03:00:00+00:00,1.0,0.4982673525810241,0.5025684833526611,0.5088871717453003,0.5017326474189758,0.4974315166473388,0.4911128282546997,1,1,1,0,0,0,0.0,0,125031.625
2026-01-22 04:00:00+00:00,1.0,0.4722726047039032,0.4886842966079712,0.4928323626518249,0.5277273654937744,0.5113157033920288,0.507167637348175,1,1,-1,-1,-1,0,-100.0,0,124931.625
2026-01-22 05:00:00+00:00,1.0,0.4925477206707001,0.4959084093570709,0.5135537981987,0.5074522495269775,0.5040916204452515,0.4864462018013,1,1,-1,0,0,1,-50.0,0,124881.625
2026-01-22 06:00:00+00:00,1.0,0.4819466471672058,0.4934426546096802,0.4905668199062347,0.5180533528327942,0.5065573453903198,0.5094331502914429,-1,-1,-1,-1,0,-1,88.5,0,124970.125
2026-01-22 07:00:00+00:00,1.0,0.5133396983146667,0.501431941986084,0.5192480087280273,0.4866603016853332,0.498568058013916,0.4807519912719726,1,1,1,0,0,1,44.25,0,125014.375
2026-01-22 08:00:00+00:00,1.0,0.4969461560249328,0.4847192168235779,0.4959618747234344,0.5030538439750671,0.5152807831764221,0.5040380954742432,1,1,1,0,-1,0,-50.0,0,124964.375
2026-01-22 09:00:00+00:00,1.0,0.4842003881931305,0.4952291846275329,0.4884361624717712,0.5157996416091919,0.504770815372467,0.5115638375282288,1,-1,-1,0,0,-1,44.25,0,125008.625
2026-01-22 10:00:00+00:00,1.0,0.4873732626438141,0.5064456462860107,0.5083330273628235,0.5126267671585083,0.4935543537139892,0.4916669726371765,-1,-1,-1,0,0,0,0.0,0,125008.625
2026-01-22 11:00:00+00:00,1.0,0.4992724657058716,0.5091938376426697,0.5178857445716858,0.5007275342941284,0.4908061623573303,0.4821142554283142,1,-1,1,0,1,1,-5.75,0,125002.875
2026-01-22 12:00:00+00:00,1.0,0.497903823852539,0.5109284520149231,0.5029379725456238,0.5020961761474609,0.4890715479850769,0.4970620274543762,-1,-1,-1,0,1,0,-50.0,0,124952.875
