timestamp,model,symbol,pred,win,stake,pnl,units,risked,paper
2026-09-12T05:00:00+00:00,quarterhour,BTCUSDT,1,1,140.65,120.70,0.613941,0.715417,0
2026-09-12T05:30:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T06:45:00+00:00,quarterhour,BTCUSDT,-1,1,27.56,23.47,0.118959,0.139689,0
2026-09-12T06:45:00+00:00,quarterhour,ETHUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T07:15:00+00:00,quarterhour,BTCUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T07:15:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T09:15:00+00:00,quarterhour,BTCUSDT,-1,1,138.21,120.54,0.617766,0.708324,0
2026-09-12T09:15:00+00:00,quarterhour,ETHUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T09:30:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T09:30:00+00:00,quarterhour,BTCUSDT,-1,1,97.34,86.32,0.445832,0.502749,0
2026-09-12T10:15:00+00:00,quarterhour,BTCUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T11:45:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T12:00:00+00:00,hourly,ETHUSDT,-1,1,96.87,82.52,0.425932,0.500000,0
2026-09-12T12:45:00+00:00,quarterhour,ETHUSDT,-1,0,18.79,-18.79,-0.092577,0.092577,0
2026-09-12T13:00:00+00:00,quarterhour,BTCUSDT,1,0,86.33,-86.33,-0.426733,0.426733,0
2026-09-12T13:15:00+00:00,quarterhour,ETHUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T14:00:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T14:30:00+00:00,quarterhour,BTCUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T14:45:00+00:00,quarterhour,BTCUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T15:15:00+00:00,quarterhour,ETHUSDT,1,1,36.31,32.07,0.157969,0.178854,0
2026-09-12T15:30:00+00:00,quarterhour,BTCUSDT,-1,1,5.09,4.52,0.022746,0.025614,0
2026-09-12T16:30:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T16:45:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T17:00:00+00:00,quarterhour,BTCUSDT,1,0,144.43,-144.43,-0.715391,0.715391,0
2026-09-12T17:00:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T17:00:00+00:00,hourly,BTCUSDT,1,0,196.61,-196.61,-1.000000,1.000000,0
2026-09-12T17:15:00+00:00,quarterhour,ETHUSDT,1,0,31.95,-31.95,-0.156936,0.156936,0
2026-09-12T17:30:00+00:00,quarterhour,BTCUSDT,1,0,22.06,-22.06,-0.108317,0.108317,0
2026-09-12T17:30:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T17:45:00+00:00,quarterhour,BTCUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T18:00:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T18:00:00+00:00,quarterhour,BTCUSDT,1,0,64.28,-64.28,-0.323244,0.323244,0
2026-09-12T18:15:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T18:15:00+00:00,quarterhour,BTCUSDT,1,1,43.48,35.95,0.175047,0.211712,0
2026-09-12T18:30:00+00:00,quarterhour,BTCUSDT,1,0,126.62,-126.62,-0.636788,0.636788,0
2026-09-12T18:30:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T18:45:00+00:00,quarterhour,BTCUSDT,1,0,126.68,-126.68,-0.623532,0.623532,0
2026-09-12T19:15:00+00:00,quarterhour,BTCUSDT,1,0,3.17,-3.17,-0.015966,0.015966,0
2026-09-12T19:15:00+00:00,quarterhour,ETHUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-12T19:45:00+00:00,quarterhour,BTCUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T19:45:00+00:00,quarterhour,ETHUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-12T20:00:00+00:00,hourly,ETHUSDT,1,1,11.35,8.65,0.042157,0.055316,0
2026-09-12T21:00:00+00:00,quarterhour,ETHUSDT,1,1,36.31,32.07,0.157969,0.178854,0
2026-09-12T22:15:00+00:00,quarterhour,BTCUSDT,-1,1,56.51,46.71,0.227410,0.275121,0
2026-09-12T22:45:00+00:00,quarterhour,ETHUSDT,1,1,36.08,32.30,0.160116,0.178854,0
2026-09-13T00:00:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-13T05:00:00+00:00,hourly,ETHUSDT,1,1,46.40,36.60,0.181076,0.229561,0
2026-09-13T06:00:00+00:00,quarterhour,BTCUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-13T06:15:00+00:00,quarterhour,BTCUSDT,-1,1,5.74,5.09,0.025586,0.028853,0
2026-09-13T07:00:00+00:00,quarterhour,BTCUSDT,1,1,0.00,0.00,0.000000,0.000000,0
2026-09-13T10:00:00+00:00,hourly,ETHUSDT,1,0,76.60,-76.60,-0.384445,0.384445,0
2026-09-13T11:00:00+00:00,hourly,BTCUSDT,1,1,56.94,43.77,0.214119,0.278546,0
2026-09-13T11:00:00+00:00,hourly,ETHUSDT,1,1,3.67,3.00,0.015073,0.018439,0
2026-09-13T12:00:00+00:00,hourly,ETHUSDT,1,0,101.94,-101.94,-0.500000,0.500000,0
2026-09-13T14:15:00+00:00,quarterhour,BTCUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-13T17:00:00+00:00,quarterhour,BTCUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-13T17:15:00+00:00,quarterhour,BTCUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-13T21:15:00+00:00,quarterhour,BTCUSDT,-1,0,0.00,0.00,0.000000,0.000000,0
2026-09-13T21:30:00+00:00,quarterhour,BTCUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-13T22:45:00+00:00,quarterhour,BTCUSDT,1,0,0.00,0.00,0.000000,0.000000,0
2026-09-14T03:15:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-14T03:30:00+00:00,quarterhour,ETHUSDT,-1,1,39.86,34.31,0.153951,0.178854,0
2026-09-14T04:45:00+00:00,quarterhour,ETHUSDT,-1,1,39.12,35.05,0.160246,0.178854,0
2026-09-14T07:45:00+00:00,quarterhour,ETHUSDT,-1,1,39.86,34.31,0.153951,0.178854,0
2026-09-14T08:00:00+00:00,hourly,BTCUSDT,-1,1,208.40,183.70,0.881478,1.000000,0
2026-09-14T16:00:00+00:00,hourly,BTCUSDT,-1,0,211.90,-211.90,-1.000000,1.000000,0
2026-09-14T18:30:00+00:00,quarterhour,ETHUSDT,-1,0,39.86,-39.86,-0.178854,0.178854,0
2026-09-14T19:30:00+00:00,quarterhour,ETHUSDT,-1,1,0.00,0.00,0.000000,0.000000,0
2026-09-14T21:15:00+00:00,quarterhour,ETHUSDT,1,1,39.42,34.75,0.157666,0.178854,0
